original_file,production_name,production_slug,webp_quality,original_bytes,webp_bytes,savings_pct
Cheesecake_Brownie_1_941a1eb1-4d68-44cc-a2b9-d36f0fd71d7a.jpg,cheesecake-brownie.webp,cheesecake-brownie,85,109464,78646,28.2
Chicken_CheesePuff-Square.jpg,chicken-cheese-butter-puff-1-pc.webp,chicken-cheese-butter-puff-1-pc,85,289828,151850,47.6
ChickenKheemaRoll-Square.jpg,chicken-keema-roll-1-pc.webp,chicken-keema-roll-1-pc,85,244789,134836,44.9
ChickenMayoSandwich-Square.jpg,chicken-mayonnaise-sandwich.webp,chicken-mayonnaise-sandwich,85,166765,72492,56.5
Choco-VanillaOreoCake.jpg,choco-vanilla-oreo-cake.webp,choco-vanilla-oreo-cake,85,1483581,181638,87.8
Choco-VanillaOreoPastry.jpg,choco-vanilla-oreo-pastry.webp,choco-vanilla-oreo-pastry,85,230165,124158,46.1
ChocoChipBrownie.jpg,choco-chip-brownie.webp,choco-chip-brownie,85,197293,181034,8.2
ChocoChipBrownie02.jpg,choco-chip-brownie-02.webp,choco-chip-brownie-02,70,190437,187628,1.5
ChocoholicCakehalfkg.jpg,chocoholic-cake-1-2-kg.webp,chocoholic-cake-1-2-kg,85,186946,95816,48.7
ChocoholicPastry.jpg,chocoholic-mousse-pastry.webp,chocoholic-mousse-pastry,78,196640,160880,18.2
Chocolate_Orange_Brownie_1.jpg,chocolate-orange-brownie.webp,chocolate-orange-brownie,85,113812,56298,50.5
Chocolate_Oreo_Cake_2_Large_3cf0e188-a4c1-445f-ac8a-d9c368f5c5d9.jpg,chocolate-oreo-cake.webp,chocolate-oreo-cake,85,168450,83920,50.2
Chocolate_StrawberryBentoCake.jpg,chocolate-strawberry-bento-cake.webp,chocolate-strawberry-bento-cake,85,62423,56996,8.7
ChocolateBars.jpg,chocolate-bars-collection-set-of-3.webp,chocolate-bars-collection-set-of-3,85,95675,65970,31
ChocolateCupcake.jpg,chocolate-cupcake.webp,chocolate-cupcake,85,302052,166858,44.8
ChocolatemousseCake3Large.jpg,chocolate-mousse-cake.webp,chocolate-mousse-cake,85,157568,74036,53
ChocolatemousseCake4Large.jpg,chocolate-mousse-cake-02.webp,chocolate-mousse-cake-02,85,172480,82868,52
ChocolateMousseCup.jpg,chocolate-mousse-jar-100g.webp,chocolate-mousse-jar-100g,85,170869,77442,54.7
ChocolateNougatineCake3Large.jpg,almond-nougatine-cake.webp,almond-nougatine-cake,85,154610,70600,54.3
ChocolateNougatineCake5Large.jpg,almond-nougatine-cake-02.webp,almond-nougatine-cake-02,85,198454,102626,48.3
ChocolateOreoCake3Large.jpg,chocolate-oreo-cake-02.webp,chocolate-oreo-cake-02,85,190065,105872,44.3
Choice-of-2-Non-Veg-Sandwiches-Savouries-_-Beverage-_-Pastry---Square.jpg,choice-of-2-non-veg-sandwiches-savouries-beverage-pastry.webp,choice-of-2-non-veg-sandwiches-savouries-beverage-pastry,85,53971,28892,46.5
Choice-of-2-Veg-Sandwich-Savouries-_-Beverage-_-Cupcake_d7d2d42f-6f40-41bd-81b1-d5fb4cd2844d.jpg,choice-of-2-veg-sandwiches-savouries-beverage-dessert-cupcake.webp,choice-of-2-veg-sandwiches-savouries-beverage-dessert-cupcake,85,56759,33512,41
Choice-of-2-Veg-Sandwiches-Savouries-_-Beverage-_-Eggless-Brownie---Square.jpg,choice-of-2-veg-sandwiches-savouries-beverage-eggless-brownie.webp,choice-of-2-veg-sandwiches-savouries-beverage-eggless-brownie,85,56846,32510,42.8
Choice_of_2_Non-Veg_SandwichesSavouries_Brownie_Beverage.jpg,choice-of-2-non-veg-sandwiches-savouries-beverage-brownie.webp,choice-of-2-non-veg-sandwiches-savouries-beverage-brownie,85,211861,131952,37.7
Choiceof2Non-VegSandwichesSavouries_DessertCupcake_Beverage.jpg,choice-of-2-non-veg-sandwiches-savouries-beverage-dessert-cupcake.webp,choice-of-2-non-veg-sandwiches-savouries-beverage-dessert-cupcake,85,200674,123408,38.5
Choiceof2VegSandwichesSavouries_EgglessPastry_Beverage.jpg,choice-of-2-veg-sandwiches-savouries-beverage-pastry.webp,choice-of-2-veg-sandwiches-savouries-beverage-pastry,85,186515,108916,41.6
CinnamonSwirlCookies.jpg,cinnamon-swirl-cookies.webp,cinnamon-swirl-cookies,85,277206,149246,46.2
CookieBoxof3-Square.jpg,cookies-collection-gift-set-3.webp,cookies-collection-gift-set-3,85,153591,127320,17.1
CookieBoxof4-Square.jpg,cookies-collection-gift-set-4.webp,cookies-collection-gift-set-4,85,160524,137578,14.3
CookieBrownie.jpg,cookie-brownie.webp,cookie-brownie,85,198314,160172,19.2
CookieBrownie02.jpg,cookie-brownie-02.webp,cookie-brownie-02,85,199225,122726,38.4
Croissant01.jpg,butter-croissant-02.webp,butter-croissant-02,82,198450,160852,18.9
Croissant02.jpg,butter-croissant.webp,butter-croissant,85,196198,171608,12.5
DarkChocolateMousseCake-Square_90b43f7d-e1f2-4038-a47a-e28fab654507.jpg,eggless-dark-chocolate-mousse-cake.webp,eggless-dark-chocolate-mousse-cake,85,210064,135876,35.3
DarkChocolateMoussePastry-Square_4ad7e9e0-ff6c-4817-80a0-7df822cc871c.jpg,eggless-dark-chocolate-mousse-pastry.webp,eggless-dark-chocolate-mousse-pastry,85,180729,110268,39
Darkchocomoussepastry.jpg,dark-choco-mousse-pastry-1-piece.webp,dark-choco-mousse-pastry-1-piece,85,89683,63048,29.7
Delicacies-02.jpg,category-delicacies-02.webp,category-delicacies-02,85,67190,52228,22.3
Delicacies-04.jpg,category-delicacies-04.webp,category-delicacies-04,85,45752,26796,41.4
Delicacies-06.jpg,category-delicacies-06.webp,category-delicacies-06,85,81661,54888,32.8
DenseLoafTruffleCake2Large.jpg,dense-loaf-truffle-cake.webp,dense-loaf-truffle-cake,85,126412,52014,58.9
DenseLoafTruffleCake3Large.jpg,dense-loaf-truffle-cake-02.webp,dense-loaf-truffle-cake-02,85,141611,63540,55.1
DevilsMoussePastry.jpg,devils-mousse-pastry-02.webp,devils-mousse-pastry-02,85,196963,162492,17.5
DevilsMoussePastry02.jpg,devils-mousse-pastry.webp,devils-mousse-pastry,85,194763,126838,34.9
DutchTruffleCakehalfkg.jpg,dutch-truffle-cake-1-2-kg.webp,dutch-truffle-cake-1-2-kg,85,191479,130822,31.7
DutchTruffleCakehalfkg02.jpg,dutch-truffle-cake-1-2-kg-02.webp,dutch-truffle-cake-1-2-kg-02,85,176759,110652,37.4
DutchTruffleCakeonekg.jpg,dutch-truffle-cake-1-kg.webp,dutch-truffle-cake-1-kg,85,199225,158916,20.2
DutchTruffleCakeonekg02.jpg,dutch-truffle-cake-1-kg-02.webp,dutch-truffle-cake-1-kg-02,82,198478,173422,12.6
DutchTrufflePastry.jpg,dutch-truffle-pastry.webp,dutch-truffle-pastry,85,191292,130642,31.7
DutchTrufflePastry02.jpg,dutch-truffle-pastry-02.webp,dutch-truffle-pastry-02,85,197753,150752,23.8
EgglessDutchTruffleCakehalfkg.jpg,eggless-dutch-truffle-cake-1-2-kg.webp,eggless-dutch-truffle-cake-1-2-kg,85,160652,63462,60.5
EgglessDutchTruffleCakehalfkg02.jpg,eggless-dutch-truffle-cake-1-2-kg-02.webp,eggless-dutch-truffle-cake-1-2-kg-02,85,177753,80664,54.6
EgglessDutchTruffleCakeonekg.jpg,eggless-dutch-truffle-cake-1-kg.webp,eggless-dutch-truffle-cake-1-kg,85,193906,135900,29.9
EgglessDutchTruffleCakeonekg02.jpg,eggless-dutch-truffle-cake-1-kg-02.webp,eggless-dutch-truffle-cake-1-kg-02,85,198053,133154,32.8
EgglessDutchTrufflePastry.jpg,eggless-dutch-truffle-pastry.webp,eggless-dutch-truffle-pastry,85,196635,180502,8.2
EgglessFreshCreamPineapplePastry.jpg,eggless-fresh-cream-pineapple-pastry.webp,eggless-fresh-cream-pineapple-pastry,85,195763,114994,41.3
EgglessFreshCreamPineapplePastry02.jpg,eggless-fresh-cream-pineapple-pastry-02.webp,eggless-fresh-cream-pineapple-pastry-02,85,199932,111444,44.3
EgglessMillionaireBrownie.jpg,millionaire-brownie-03.webp,millionaire-brownie-03,85,199413,114362,42.7
EgglessMillionaireBrownie02.jpg,millionaire-brownie.webp,millionaire-brownie,78,196333,160974,18
EgglessMillionaireBrownie03.jpg,millionaire-brownie-02.webp,millionaire-brownie-02,70,199491,184964,7.3
EgglessRichChocolateCake.jpg,eggless-rich-chocolate-cake.webp,eggless-rich-chocolate-cake,85,227655,122880,46
EgglessRichChocolatePastry.jpg,eggless-rich-chocolate-pastry.webp,eggless-rich-chocolate-pastry,85,224278,132656,40.9
FG0566_AssortedEgglessBrowniesGiftBox_12Pieces.jpg,assorted-eggless-brownies-gift-box-12-pcs.webp,assorted-eggless-brownies-gift-box-12-pcs,70,82829,76444,7.7
FG0568_AssortedEgglessBrowniesGiftBox_6Pieces.jpg,assorted-eggless-brownies-gift-box-6-pcs.webp,assorted-eggless-brownies-gift-box-6-pcs,70,77885,71570,8.1
FG0777_ChickenTikkaBoatPizza_1Piece.jpg,chicken-tikka-boat-pizza.webp,chicken-tikka-boat-pizza,82,81701,71568,12.4
FG0807_LotusBiscoffBentoCheesecake_300g.jpg,lotus-biscoff-bento-cheesecake.webp,lotus-biscoff-bento-cheesecake,85,76969,72874,5.3
FG0872_ChocolateChipBigCookie_1Piece.jpg,chocolate-chip-big-cookie.webp,chocolate-chip-big-cookie,78,98063,87568,10.7
FG0873_Oats_RaisinsBigCookie_1Piece.jpg,oats-raisins-big-cookie.webp,oats-raisins-big-cookie,75,100826,95524,5.3
FG0880__Luxury_Gift_Hamper_Box__Pan_India_except_Airport__MD__T2__T3__T4_1.jpg,luxury-gift-hamper-box.webp,luxury-gift-hamper-box,85,82242,75842,7.8
FG0882__Goodies_Gift_Hamper_Box_1.jpg,goodies-gift-hamper-box.webp,goodies-gift-hamper-box,85,73458,67328,8.3
FG0885__Choco_Caramel_Tart__1_Piece_1.jpg,choco-caramel-tart.webp,choco-caramel-tart,85,95048,64908,31.7
FG0886__Banoffee_Tart__1_Piece_1.jpg,banoffee-tart.webp,banoffee-tart,82,64799,56026,13.5
FG0892_SpicyPeanutCookie.jpg,spicy-peanut-cookies.webp,spicy-peanut-cookies,82,64997,55260,15
FG0893_ChilliCheeseCookie.jpg,chilli-cheese-cookies.webp,chilli-cheese-cookies,85,62670,58638,6.4
FG0894_JeeraCookie.jpg,jeera-cookies.webp,jeera-cookies,85,81391,54972,32.5
FG0968_Strawberry_FreshCreamCake_540g.jpg,strawberry-fresh-cream-cake-540g.webp,strawberry-fresh-cream-cake-540g,85,72725,41870,42.4
FG0969_Strawberry_FreshCreamPastry_1Piece_1.jpg,strawberry-and-fresh-cream-pastry.webp,strawberry-and-fresh-cream-pastry,85,91013,62582,31.2
FG0970_Strawberry_ChocolateMousseCake_560g.jpg,strawberry-chocolate-mousse-cakes.webp,strawberry-chocolate-mousse-cakes,85,96063,61580,35.9
FG0971_Strawberry_ChocolateMoussePastry_1Piece_f8c6ebf6-a321-4398-9461-3fbe46b20684.jpg,strawberry-chocolate-mousse-pastry.webp,strawberry-chocolate-mousse-pastry,85,75079,46140,38.5
FG0972_StrawberryBentoCheesecake_320gm.jpg,strawberry-bento-cheesecake.webp,strawberry-bento-cheesecake,85,86357,53558,38
FG0973_StrawberryCheesecakeCup.jpg,strawberry-cheesecake-cup.webp,strawberry-cheesecake-cup,85,73245,44562,39.2
FG0974_StrawberryTart_1Piece.jpg,strawberry-tart.webp,strawberry-tart,85,74187,44638,39.8
FG0975_StrawberryTruffleCake_540g.jpg,strawberry-truffle-cake.webp,strawberry-truffle-cake,85,73540,42834,41.8
FG0976_StrawberryTrufflePastry_1Piece.jpg,strawberry-truffle-pastry.webp,strawberry-truffle-pastry,85,81258,49780,38.7
FG0977_Strawberry_ChocolateTub_190g.jpg,strawberry-chocolate-tub.webp,strawberry-chocolate-tub,85,67648,60594,10.4
FG0978_BlueberryCrumbleMuffin_1Piece.jpg,blueberry-crumble-muffin.webp,blueberry-crumble-muffin,85,85334,46380,45.6
FG0979_ChocolateChipMuffin_1Piece.jpg,chocolate-chip-muffin.webp,chocolate-chip-muffin,85,84540,45136,46.6
FG1118_SeviyanKheer_70b04683-72df-4a33-b337-e1fa246e0dee.jpg,ramadan-special-seviyan-kheer.webp,ramadan-special-seviyan-kheer,85,60254,56122,6.9
FG1119_Phirni.jpg,ramadan-special-phirni.webp,ramadan-special-phirni,85,95971,65316,31.9
FG1184_FreshMangoCreamCake_530g.jpg,fresh-mango-cream-cake-530g.webp,fresh-mango-cream-cake-530g,85,87281,49504,43.3
FG1185_MangoTart.jpg,mango-tart.webp,mango-tart,85,99243,59932,39.6
FG1186_BakedMangoYogurt.jpg,baked-mango-yogurt.webp,baked-mango-yogurt,85,66406,34070,48.7
FG1187_FreshAlphonsoMangoCreamPastry_1Piece.jpg,fresh-alphonso-mango-cream-pastry-1-piece.webp,fresh-alphonso-mango-cream-pastry-1-piece,85,100319,59814,40.4
FG1188_FreshAlphonsoMangoCreamCake_540g.jpg,fresh-alphonso-mango-cream-cake-540g.webp,fresh-alphonso-mango-cream-cake-540g,85,91731,51744,43.6
FG1189_FreshMangoCreamPastry_1Piece.jpg,fresh-mango-cream-pastry-1-piece.webp,fresh-mango-cream-pastry-1-piece,85,85528,46676,45.4
FG1190_MangoTresLeches.jpg,mango-tres-leches.webp,mango-tres-leches,85,85891,49408,42.5
FG1191_MangoCheesecakeJar.jpg,mango-cheesecake-jar.webp,mango-cheesecake-jar,85,81649,44426,45.6
